Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Syrian Arab Republic,2006,15207969.49,6593443.71,100.0,100,1.0,20.61,20.61,3.62,1.83,47700.0,25.57,67.81,1.55,5.07,3000.0,0.0,8034914.42,10359041.29,595881.45,10.56,5.99,926049.0,73.34,21.73,13.26,82.36,3000.0,0.0,9338308.36,10954922.74,0.0
Turks and Caicos Isl.,2006,510721.31,55102.63,100.0,100,1.0,28.02,28.02,6.35,6.58,3864.0,14.29,85.66,0.0,0.05,60.0,0.0,0.0,20077.73,21566.74,10.12,17.18,182964.0,75.52,21.47,35.25,106.94,3000.0,0.0,13564.86,41644.47,0.0
Chad,2006,632062.93,2513633.38,100.0,100,,,,5.66,2.76,1516.0,23.15,76.32,0.0,0.53,60.0,0.0,0.0,2444662.23,108350.39,10.88,3.38,109064.0,69.02,23.39,24.87,521.7,3000.0,0.0,2476411.78,2553012.62,0.0
Togo,2006,3601353.93,812602.51,100.0,100,,,,9.1,4.55,6742.0,35.2,62.62,0.01,2.17,3000.0,0.0,40658.69,701466.07,77263.31,11.34,9.29,510561.0,73.47,20.41,70.96,392.39,3000.0,0.0,287697.86,778729.38,0.0
Thailand,2006,112394390.16,144014811.17,100.0,100,1.0,4.32,4.32,6.22,7.13,302304.0,57.38,38.64,0.65,3.33,3000.0,0.0,25252042.51,161207291.95,384911.78,9.71,9.03,1297074.0,72.67,22.86,2.51,16.66,3000.0,0.0,42421833.83,161592203.73,0.0
Tajikistan,2006,1654339.43,908645.47,100.0,100,,,,11.0,5.08,3171.0,49.61,48.69,0.09,1.61,50.0,0.0,113406.7,1023959.36,23208.54,10.39,5.26,186454.0,75.42,21.46,40.46,143.11,3000.0,0.0,156877.89,1047167.9,0.0
Tokelau,2006,203235.33,20324.14,100.0,100,,,,9.83,4.95,3375.0,56.8,41.21,0.15,1.84,100.0,0.0,150.22,17826.67,9737.54,11.28,9.86,186032.0,77.37,19.85,50.99,102.07,3000.0,0.0,10039.08,27564.21,0.0
Turkmenistan,2006,2303462.38,5451138.83,100.0,100,,,,5.38,0.85,3306.0,42.98,51.3,0.48,5.23,184.14,0.0,843178.54,5200546.16,320464.92,10.19,4.68,142620.0,71.14,23.55,41.05,188.08,3000.0,0.0,5306218.08,5521011.08,0.0
East Timor,2006,122083.44,37225.87,100.0,100,,,,7.45,2.54,1118.0,34.88,64.76,0.27,0.09,50.0,0.0,9.5,41318.59,1955.37,9.4,9.8,93083.0,71.93,26.31,37.75,108.41,3000.0,0.0,25769.97,43273.96,0.0
Tonga,2006,112648.57,23227.6,100.0,100,1.0,-1.6,-1.6,5.34,6.48,1025.0,31.51,62.54,0.78,5.17,135.58,0.0,870.73,14438.29,5446.73,11.77,15.12,97858.0,74.73,21.24,79.41,305.37,3000.0,0.0,9763.2,19885.02,0.0
Trinidad and Tobago,2006,5225683.49,13960725.13,100.0,100,1.0,6.66,6.66,1.51,1.21,22525.0,11.58,86.77,0.55,1.11,331.12,0.0,2048709.87,11293191.89,3601871.46,10.8,5.28,786819.0,73.13,21.41,26.7,164.01,3000.0,0.0,12346244.75,14895063.35,0.0
Tunisia,2006,25005729.17,11961431.66,100.0,100,1.0,6.73,6.73,2.96,4.76,60195.0,19.62,74.82,0.85,4.7,3000.0,0.0,4420825.41,20242509.82,1746578.92,10.21,11.86,866373.0,74.43,21.21,9.19,53.51,3000.0,0.0,7450807.98,21989088.75,0.0
Turkey,2006,179791532.47,81364968.46,100.0,100,1.0,9.33,9.33,5.06,7.31,295216.0,34.5,60.27,0.76,4.47,3000.0,0.0,22072402.66,122082221.55,1068133.32,9.68,12.97,1259974.0,72.89,22.82,2.54,15.77,3000.0,0.0,44642961.37,123150354.87,0.0
Tuvalu,2006,46898.84,3999.77,100.0,100,1.0,-0.75,-0.75,3.05,0.47,511.0,17.03,81.41,0.0,1.57,27.84,0.0,0.0,327.26,4365.61,10.88,6.85,51291.0,75.33,21.88,26.03,254.21,735.78,0.0,843.01,4692.88,0.0
Tanzania,2006,4323091.25,1950877.16,100.0,100,1.0,18.08,18.08,5.96,5.52,17358.0,29.22,70.01,0.22,0.55,3000.0,0.0,264651.58,1497966.27,372096.84,10.45,12.14,749622.0,73.34,22.18,27.74,165.51,3000.0,0.0,512728.08,1870063.1,0.0
Uganda,2006,2141542.77,670069.41,100.0,100,1.0,11.58,11.58,6.78,11.44,11936.0,31.18,68.06,0.16,0.59,3000.0,0.0,79432.86,988290.29,23501.66,10.66,15.75,563937.0,71.65,22.84,37.29,223.22,3000.0,0.0,217263.18,1011791.95,0.0
Ukraine,2006,73699900.48,40484965.68,100.0,100,1.0,11.64,11.64,5.12,4.87,102223.0,37.14,57.45,1.08,4.34,2454.2,0.0,4590498.44,36517144.31,1792266.74,9.76,7.13,1088626.0,72.43,23.05,6.56,41.54,3000.0,0.0,9327422.08,38309411.05,0.0
United States Minor Outlying I,2006,24348.41,32803.93,100.0,100,,,,9.27,14.99,2326.0,69.13,24.72,0.73,5.42,274.5,0.0,91.61,38440.31,2454.26,11.76,20.59,198971.0,75.2,20.38,88.01,290.11,3000.0,0.0,26250.77,40894.57,0.0
Unspecified,2006,328138353.33,128262192.05,100.0,100,,,,8.39,5.75,154068.0,73.63,20.62,0.81,4.93,3000.0,0.0,6986735.46,59072531.22,203309.2,9.68,6.04,1346495.0,72.29,23.09,5.08,35.28,3000.0,0.0,35947562.74,59275840.42,0.0
Uruguay,2006,6227899.28,4714282.32,100.0,100,1.0,11.31,11.31,4.59,23.18,40376.0,34.11,47.86,0.56,17.47,3000.0,0.0,1123877.92,4782316.93,494788.2,11.01,23.51,753698.0,72.7,21.25,15.73,97.09,3000.0,0.0,2457702.0,5277105.13,0.0
United States,2006,2061697008.26,1046339738.53,100.0,100,1.0,5.17,5.17,7.72,6.25,681646.0,67.51,28.92,0.54,3.03,3000.0,0.0,228545176.38,1236984915.66,24743.52,9.58,7.16,1367329.0,72.18,23.25,1.16,8.01,3000.0,0.0,352802533.32,1237009659.18,0.0
Uzbekistan,2006,4932837.4,6145919.5,100.0,100,,,,3.36,1.92,8251.0,33.07,63.52,0.65,2.75,3000.0,0.0,1285483.26,3278841.89,379203.03,10.75,5.35,323530.0,73.34,22.32,34.94,135.39,3000.0,0.0,2196095.59,3658044.93,0.0
Holy See,2006,72970.42,6572.03,100.0,100,,,,7.04,5.48,843.0,50.65,31.79,0.0,17.56,98.24,0.0,0.0,4040.05,1728.42,10.26,8.92,51920.0,70.68,24.85,11.03,264.41,3000.0,0.0,2364.54,5768.48,0.0
St. Vincent and the Grenadines,2006,740537.41,265362.48,100.0,100,1.0,6.23,6.23,2.55,5.08,3241.0,15.03,82.35,0.0,2.62,87.45,0.0,0.0,334074.89,12686.36,11.81,9.41,295979.0,73.84,19.84,71.21,505.58,3000.0,0.0,47161.28,346761.25,0.0
Venezuela,2006,36540505.74,59125279.29,100.0,100,1.0,18.27,18.27,4.09,0.87,37871.0,30.55,66.03,0.76,2.66,394.98,0.0,8317934.75,63834841.19,2637367.05,9.56,4.28,834179.0,73.72,22.65,13.75,66.29,3000.0,0.0,57098005.26,66472208.24,0.0
British Virgin Islands,2006,4960188.86,386566.12,100.0,100,,,,7.03,1.74,7776.0,37.82,61.88,0.13,0.17,200.0,0.0,1200.05,254206.4,224073.25,9.59,8.7,372047.0,74.03,22.95,29.01,115.53,3000.0,0.0,54554.29,478279.65,0.0
Vietnam,2006,46208162.39,42724964.95,100.0,100,1.0,10.51,10.51,5.49,8.55,130107.0,57.33,38.41,0.69,3.57,3000.0,0.0,11377269.01,51776556.84,334201.98,10.18,11.95,1089857.0,73.26,22.2,5.29,32.68,3000.0,0.0,15160523.59,52110758.82,0.0
Vanuatu,2006,225255.9,284188.99,100.0,100,1.0,,,4.73,6.0,1613.0,22.13,76.57,0.0,1.3,200.0,0.0,0.0,271969.35,17422.69,11.04,9.04,109291.0,66.83,26.11,45.32,432.8,3000.0,0.0,25879.29,289392.05,0.0
 World,2006,13381220729.61,12151131288.54,100.0,100,1.0,7.64,7.64,6.98,5.28,13532222.0,53.23,43.13,0.57,3.07,3000.0,0.0,3876747642.09,10492028408.59,7757.89,9.62,7.6,1369651.0,72.17,23.27,0.06,0.4,3000.0,0.0,4153604598.38,10564330697.38,0.0
Wallis and Futura Isl.,2006,44177.23,1369.45,100.0,100,1.0,6.14,6.14,3.94,1.8,824.0,21.72,77.43,0.0,0.85,63.17,0.0,0.0,383.66,1482.89,7.98,7.52,42560.0,73.03,25.12,9.59,86.04,1693.54,0.0,629.29,1866.55,0.0
Samoa,2006,257671.87,88592.59,100.0,100,1.0,7.37,7.37,10.48,4.72,1562.0,31.11,67.61,0.38,0.9,1870.91,0.0,963.79,77451.4,6052.4,9.58,10.41,138894.0,72.34,23.09,60.24,346.03,3000.0,0.0,13098.74,83503.8,0.0
Yemen,2006,7217294.77,7137150.34,100.0,100,1.0,6.12,6.12,11.23,2.41,9846.0,24.5,74.44,0.57,0.5,216.38,0.0,429669.81,7003752.85,78706.98,11.51,4.06,508206.0,72.64,20.3,45.73,319.15,3000.0,0.0,6714870.31,7082459.82,0.0
South Africa,2006,88518840.39,73524992.28,100.0,100,1.0,11.54,11.54,5.85,4.48,195742.0,40.12,53.18,0.64,6.05,3000.0,0.0,10420523.33,91553623.09,437057.98,9.69,8.0,1347760.0,72.25,23.13,4.0,27.81,3000.0,0.0,18770148.07,91990681.07,0.0
"Congo, Dem. Rep.",2006,3715536.08,1514914.88,100.0,100,,,,11.72,1.33,6338.0,28.26,70.4,0.17,1.17,3000.0,0.0,397.7,1133536.57,1143517.27,11.32,7.2,442131.0,72.34,21.84,60.92,345.12,3000.0,0.0,199375.47,2277053.84,0.0
Zambia,2006,3955393.21,2851582.31,100.0,100,1.0,9.61,9.61,6.93,3.12,7733.0,29.3,69.83,0.32,0.54,1727.6,0.0,240527.28,3725114.63,166335.88,10.61,6.25,561574.0,72.01,22.63,53.12,336.22,3000.0,0.0,427990.72,3891450.51,0.0
Zimbabwe,2006,2530262.44,2238142.81,100.0,100,1.0,-4.79,-4.79,4.76,5.74,15678.0,24.23,65.77,0.82,9.18,703.37,0.0,419321.8,2981748.17,589161.39,11.01,9.28,716459.0,72.8,21.36,37.35,229.63,3000.0,0.0,1188616.5,3570909.55,0.0
East Asia & Pacific,2006,2826400515.9,3377095960.71,100.0,100,,,,7.2,6.24,3450366.0,64.6,32.39,0.55,2.46,3000.0,0.0,819122492.86,3859366398.07,29727.0,9.58,8.09,1367973.0,72.18,23.25,0.23,1.58,3000.0,0.0,1035411266.56,3859396125.07,0.0
Europe & Central Asia,2006,5628914003.48,5032247562.04,100.0,100,,,,7.15,5.23,4990580.0,51.37,45.61,0.52,2.49,3000.0,0.0,943824114.84,2341234543.93,83683.42,9.62,7.37,1369418.0,72.17,23.26,0.16,1.09,3000.0,0.0,1079686029.97,2341318227.35,0.0
Latin America & Caribbean,2006,660639559.35,722708521.24,100.0,100,,,,4.6,5.48,1325458.0,34.96,58.74,0.7,5.6,3000.0,0.0,248374399.2,798685340.63,4710880.3,9.62,9.78,1356941.0,72.23,23.17,0.59,4.11,3000.0,0.0,352052333.0,803396220.92,0.0
Middle East & North Africa,2006,631183479.91,741323209.33,100.0,100,,,,5.32,2.31,975568.0,32.68,61.79,0.83,4.7,3000.0,0.0,663090703.26,883500543.63,943743.32,9.67,4.81,1355386.0,72.26,23.14,0.81,5.58,3000.0,0.0,730593360.69,884444286.95,0.0
North America,2006,2435029344.14,1437891322.39,100.0,100,,,,7.49,6.36,989093.0,66.35,30.0,0.55,3.1,3000.0,0.0,351317289.11,1629367772.24,18566.48,9.58,7.55,1367870.0,72.17,23.26,0.8,5.52,3000.0,0.0,547305117.2,1629386338.72,0.0
South Asia,2006,231607107.87,166550967.99,100.0,100,,,,7.29,7.78,600336.0,61.61,35.16,0.55,2.69,3000.0,0.0,40154488.84,201634425.2,118271.47,9.57,11.45,1352969.0,72.28,23.18,1.31,8.94,3000.0,0.0,58214043.76,201752696.67,0.0
Sub-Saharan Africa,2006,246141231.57,251022777.41,100.0,100,,,,5.64,3.7,610203.0,31.15,64.33,0.47,4.05,3000.0,0.0,155245246.78,312783006.81,456134.76,9.66,6.41,1357175.0,72.25,23.16,1.29,8.94,3000.0,0.0,177869845.18,313239141.58,0.0
Aruba,2007,3009284.6,4697153.46,100.0,100,1.0,3.42,3.42,8.26,2.39,4558.0,44.01,52.7,0.81,2.48,50.0,0.0,4561957.25,4613483.05,232026.07,9.15,5.91,251325.0,70.45,24.14,54.87,243.48,3000.0,0.0,4672846.44,4845509.12,0.0
Afghanistan,2007,4382140.6,381595.42,100.0,100,,,,6.38,8.13,8914.0,33.58,65.32,0.4,0.7,614.74,0.0,8358.46,306638.44,37999.94,10.16,10.15,405340.0,71.15,22.55,44.14,242.34,3000.0,0.0,172184.39,344638.38,0.0
Angola,2007,18196173.39,41711912.19,100.0,100,1.0,,,4.97,1.04,8380.0,13.27,86.53,0.07,0.13,60.01,0.0,1301.92,47078916.93,1315089.81,8.47,2.66,317346.0,70.36,25.75,21.43,125.84,3000.0,0.0,47023572.84,48394006.74,0.0
Anguila,2007,172390.39,14926.57,100.0,100,1.0,19.06,19.06,8.08,5.65,1205.0,39.5,58.09,0.91,1.49,132.55,0.0,2012.48,9607.68,3321.02,10.18,19.98,112624.0,69.5,24.53,149.38,407.88,3000.0,0.0,8063.08,12928.7,0.0
Albania,2007,6049914.23,1097562.76,100.0,100,1.0,17.22,17.22,2.82,3.0,20237.0,18.61,77.61,0.17,3.61,3000.0,0.0,186571.61,1451174.13,489872.64,10.12,10.03,537677.0,71.53,22.72,23.72,129.04,3000.0,0.0,926088.94,1941046.76,0.0
Andorra,2007,3521077.28,172230.95,100.0,100,1.0,3.79,3.79,3.97,2.46,15561.0,15.41,81.61,0.06,2.92,350.0,0.0,3951.15,142010.36,139557.14,9.4,10.23,585981.0,71.04,24.12,29.08,153.09,3000.0,0.0,115811.44,281567.5,0.0
Netherlands Antilles,2007,6080686.94,4321335.03,100.0,100,1.0,6.43,6.43,10.73,4.13,20515.0,60.89,33.41,1.47,4.23,350.0,0.0,3128015.19,3683384.25,313940.57,10.33,5.85,696387.0,71.37,22.87,28.53,167.05,3000.0,0.0,3326355.83,3997324.82,0.0
United Arab Emirates,2007,172553315.87,115630764.09,100.0,100,1.0,13.92,13.92,7.55,3.06,186246.0,50.06,47.66,0.62,1.66,3000.0,0.0,80249963.81,127014953.25,755075.64,9.31,4.73,1314650.0,69.84,24.97,4.85,31.85,3000.0,0.0,88930732.76,127770028.89,0.0
Argentina,2007,49020947.03,61386635.59,100.0,100,1.0,14.41,14.41,4.48,8.76,147957.0,41.85,48.12,0.87,9.16,3000.0,0.0,20868816.41,72726785.26,2304627.56,9.25,11.73,1236408.0,69.9,24.93,5.84,37.33,3000.0,0.0,44943958.91,75031412.82,0.0
Armenia,2007,2961075.52,1089210.35,100.0,100,1.0,17.94,17.94,3.08,1.59,13492.0,28.95,59.11,1.22,10.72,579.84,0.0,118018.48,1045394.6,282077.08,8.76,7.32,564006.0,69.22,25.09,32.66,205.14,3000.0,0.0,227406.72,1327471.68,0.0
American Samoa,2007,201359.96,74701.89,100.0,100,,,,7.4,1.49,2762.0,44.32,47.07,1.16,7.46,274.5,0.0,120.53,8278.01,54823.83,9.02,4.4,208767.0,68.28,26.25,78.42,335.19,3000.0,0.0,24167.62,63101.84,0.0
Antarctica,2007,65528.51,1693.92,100.0,100,,,,7.91,0.62,451.0,16.41,82.48,0.0,1.11,145.75,0.0,0.0,168.12,1836.43,7.55,4.15,29454.0,69.93,22.66,5.1,478.94,559.53,0.0,37.26,2004.56,0.0
Fr. So. Ant. Tr,2007,59555.5,4862.43,100.0,100,,,,5.06,1.06,1102.0,23.05,76.86,0.0,0.09,60.0,0.0,0.0,1096.8,5420.03,9.63,11.19,58880.0,75.61,21.08,60.98,116.06,3000.0,0.0,3663.2,6516.83,0.0
Antigua and Barbuda,2007,2513364.97,201514.82,100.0,100,1.0,-7.57,-7.57,3.67,1.2,6979.0,21.11,67.75,0.73,10.42,134.68,0.0,1001.91,58389.44,318120.01,10.16,5.12,374429.0,70.94,23.49,48.23,250.49,3000.0,0.0,56687.96,376509.45,0.0
Australia,2007,178567927.61,155253958.08,100.0,100,1.0,8.97,8.97,6.94,6.08,248019.0,62.15,31.94,0.93,4.98,3000.0,0.0,25078739.13,171052528.85,1094489.56,9.14,7.79,1334898.0,69.68,25.21,3.65,23.85,3000.0,0.0,49502322.92,172147018.41,0.0
Austria,2007,150765850.25,148319954.76,100.0,100,1.0,7.77,7.77,6.38,6.09,164654.0,56.15,40.6,0.39,2.86,3000.0,0.0,7668902.5,42258077.35,366916.19,8.99,8.45,1278740.0,69.83,25.21,5.37,33.16,3000.0,0.0,18257880.42,42624993.54,0.0
Azerbaijan,2007,9555838.38,14303889.6,100.0,100,1.0,4.14,4.14,1.71,0.91,13512.0,23.51,70.46,0.61,5.43,108.79,0.0,22479490.93,23031604.16,918508.56,10.21,2.96,514964.0,71.32,22.43,31.25,206.75,3000.0,0.0,23477843.56,23950112.72,0.0
Burundi,2007,397347.3,99675.87,100.0,100,1.0,-1.23,-1.23,8.93,1.82,2237.0,27.98,71.88,0.04,0.09,90.0,0.0,344.41,138441.44,23947.25,10.56,16.81,182227.0,68.86,23.78,62.99,536.66,3000.0,0.0,117950.71,162388.69,0.0
Belgium,2007,383012318.01,332212319.68,100.0,100,1.0,8.16,8.16,7.74,6.14,228322.0,59.85,37.69,0.38,2.07,3000.0,0.0,14948424.04,70656061.46,152096.17,9.11,8.18,1332226.0,69.75,25.19,3.96,25.58,3000.0,0.0,27393292.05,70808157.62,0.0
Benin,2007,5574893.86,831179.44,100.0,100,1.0,27.5,27.5,7.66,11.32,3688.0,30.69,68.87,0.08,0.35,274.5,0.0,135175.13,565034.16,23702.96,11.27,8.36,301304.0,72.48,21.86,91.89,370.34,3000.0,0.0,317024.44,588737.12,0.0
Burkina Faso,2007,1796582.99,438812.61,100.0,100,1.0,6.38,6.38,4.93,3.38,4924.0,19.9,79.69,0.32,0.08,350.0,0.0,304927.24,348658.38,78904.08,10.43,6.38,296917.0,70.82,23.46,50.95,293.85,3000.0,0.0,350226.41,427562.47,0.0
Bangladesh,2007,15780707.2,14407361.49,100.0,100,1.0,5.99,5.99,5.65,7.77,46902.0,29.7,67.34,0.17,2.78,1636.23,0.0,943790.36,22402892.07,101462.2,10.86,16.24,670383.0,73.69,20.71,11.75,68.33,3000.0,0.0,9486798.88,22504354.27,0.0
Bulgaria,2007,25320818.42,16640977.85,100.0,100,1.0,13.71,13.71,6.52,5.8,58267.0,65.17,31.25,0.34,3.23,3000.0,0.0,1347500.58,5972061.28,148336.1,9.28,7.37,998613.0,70.81,24.49,12.21,68.3,3000.0,0.0,3440470.86,6120397.39,0.0
Bahrain,2007,9334659.86,7594260.35,100.0,100,1.0,13.39,13.39,4.05,3.3,22276.0,27.65,71.17,0.33,0.85,584.56,0.0,2974823.12,7786855.7,720709.0,9.62,6.21,693207.0,71.84,23.52,23.63,120.77,3000.0,0.0,4246063.33,8507564.69,0.0
"Bahamas, The",2007,10455874.67,2332092.28,100.0,100,1.0,1.96,1.96,5.42,5.65,6822.0,24.38,66.24,1.17,8.21,754.3,0.0,1248317.77,2638947.91,397721.94,10.06,11.48,325510.0,71.86,22.75,48.94,208.12,3000.0,0.0,1454144.27,3036669.85,0.0
Bosnia and Herzegovina,2007,13887529.43,3997319.25,100.0,100,1.0,13.4,13.4,0.95,2.16,48671.0,7.35,89.92,0.09,2.64,639.25,0.0,314625.85,3714248.41,2693314.59,9.6,8.18,846568.0,71.21,23.73,14.25,73.74,3000.0,0.0,2108645.24,6407563.0,0.0
Belarus,2007,33022275.51,20346709.17,100.0,100,1.0,13.37,13.37,3.73,1.5,53112.0,35.67,60.83,0.75,2.75,327.14,0.0,8851492.31,18600018.2,1330124.04,9.36,5.41,747174.0,71.7,23.51,11.64,55.74,3000.0,0.0,12495076.08,19930142.24,0.0
Belize,2007,837833.24,442515.25,100.0,100,1.0,1.8,1.8,5.22,14.95,5638.0,41.34,52.57,0.89,5.2,134.68,0.0,21862.15,414704.61,116768.13,9.82,19.02,339819.0,71.22,23.55,53.42,261.79,3000.0,0.0,428045.82,531472.74,0.0
Bermuda,2007,5817736.09,274678.98,100.0,100,1.0,2.86,2.86,10.19,1.27,3378.0,23.21,70.22,0.47,6.1,1629.82,0.0,488.79,92517.25,412017.66,9.95,3.91,213897.0,70.33,24.33,87.36,251.21,3000.0,0.0,120327.25,504534.91,0.0
Bolivia,2007,4085166.86,3996264.04,100.0,100,1.0,10.74,10.74,3.58,1.12,14987.0,22.52,70.45,0.89,6.13,1003.11,0.0,29656.5,1144659.31,3911242.24,10.83,5.56,458132.0,71.7,23.0,27.52,134.78,3000.0,0.0,753880.46,5055901.54,0.0
Brazil,2007,149131807.63,175972154.07,100.0,100,1.0,14.9,14.9,5.37,9.86,259882.0,44.99,48.94,0.82,5.24,3000.0,0.0,71052975.01,217804226.65,1830903.31,9.14,11.93,1300315.0,69.64,25.19,3.43,22.45,3000.0,0.0,105860193.12,219635129.96,0.0
Barbados,2007,1777017.63,544571.22,100.0,100,1.0,-10.7,-10.7,2.74,7.53,13550.0,14.58,82.34,0.97,2.11,317.87,0.0,50682.16,407574.98,320463.28,9.56,11.53,601735.0,70.07,24.61,37.36,198.83,3000.0,0.0,388346.19,728038.25,0.0
Brunei,2007,3827155.51,7742978.09,100.0,100,1.0,11.97,11.97,4.74,1.65,5859.0,32.34,65.97,0.92,0.77,157.21,0.0,5249550.71,7957496.01,40947.26,9.55,3.3,285825.0,70.51,24.75,36.32,195.27,3000.0,0.0,5384374.2,7998443.27,0.0
Bhutan,2007,135666.58,305278.67,100.0,100,1.0,9.05,9.05,8.41,8.28,1951.0,37.47,61.97,0.0,0.56,182.0,0.0,0.0,172490.75,69009.91,8.86,5.3,134968.0,70.06,25.95,57.97,218.04,3000.0,0.0,48108.56,241500.66,0.0
Bunkers,2007,40420146.96,14081.96,100.0,100,,,,7.18,0.32,1355.0,83.39,16.38,0.22,0.0,135.0,0.0,34.38,26215.55,591560.94,11.15,3.71,79518.0,73.98,19.6,77.93,298.45,3000.0,0.0,3922.27,617776.49,0.0
Bouvet Island,2007,5885.94,1604.89,100.0,100,,,,5.72,1.97,682.0,41.2,57.33,0.0,1.47,40.0,0.0,0.0,907.05,1396.96,9.94,8.9,35310.0,73.79,21.3,75.81,178.15,3000.0,0.0,878.87,2304.01,0.0
Botswana,2007,965690.69,2677344.36,100.0,100,1.0,14.27,14.27,14.17,3.95,7415.0,40.5,53.35,0.5,5.65,143.66,0.0,6764.93,3925075.15,76910.78,10.65,9.12,672782.0,70.62,22.26,82.25,564.36,3000.0,0.0,481225.56,4001985.93,0.0
Central African Republic,2007,330344.25,140420.3,100.0,100,1.0,18.67,18.67,7.45,0.79,3441.0,23.37,76.02,0.06,0.55,105.0,0.0,78.63,104699.99,107298.35,9.9,9.83,189314.0,67.95,23.63,49.96,413.63,3000.0,0.0,130837.85,211998.34,0.0
Canada,2007,401067906.98,420818771.67,100.0,100,1.0,4.25,4.25,6.8,5.71,330193.0,64.09,32.34,0.65,2.93,3000.0,0.0,104420357.96,421648373.57,7466867.31,9.11,7.79,1336711.0,69.77,25.29,2.73,17.28,3000.0,0.0,218220088.11,429115240.88,0.0
Cocos (Keeling) Islands,2007,17299.83,5766.61,100.0,100,,,,8.15,3.37,1423.0,45.82,53.83,0.0,0.35,52.94,0.0,0.0,2412.18,4922.37,9.84,7.25,93895.0,74.07,21.82,31.55,239.85,639.25,0.0,2553.97,7334.55,0.0
Switzerland,2007,338628708.17,192913568.45,100.0,100,1.0,7.39,7.39,4.8,3.67,400011.0,32.62,64.06,0.32,3.0,3000.0,0.0,38380158.5,291060376.29,3386883.88,8.93,6.39,1321013.0,69.71,25.36,2.22,14.07,3000.0,0.0,113682570.38,294447260.17,0.0
Chile,2007,47608037.71,69738031.94,100.0,100,1.0,10.53,10.53,3.32,2.46,94535.0,24.58,66.77,0.64,8.0,3000.0,0.0,7136859.77,77758160.67,7762271.0,9.67,5.95,1086012.0,70.33,24.24,8.58,53.8,3000.0,0.0,19840428.36,85520431.67,0.0
China,2007,915749711.81,1562106356.92,100.0,100,1.0,9.91,9.91,7.55,7.3,750300.0,69.95,26.77,0.52,2.76,3000.0,0.0,344998927.93,1893169912.59,468507.02,9.04,8.01,1376162.0,69.65,25.34,1.23,7.96,3000.0,0.0,575789009.67,1893638419.61,0.0
Cote d'Ivoire,2007,7055054.28,7573734.95,100.0,100,1.0,7.15,7.15,7.22,3.49,16404.0,26.1,67.18,0.86,5.86,1155.19,0.0,2799508.0,11450650.97,374906.89,9.8,8.87,602042.0,69.91,24.0,32.64,191.06,3000.0,0.0,5339823.76,11825557.86,0.0
Cameroon,2007,4913935.59,4983380.03,100.0,100,1.0,1.83,1.83,4.73,3.0,16128.0,24.84,69.41,0.55,5.2,1155.19,0.0,150526.35,8170125.75,193296.81,9.92,6.13,535166.0,71.52,23.36,29.64,140.25,3000.0,0.0,6680638.58,8363422.56,0.0
"Congo, Rep.",2007,4945102.96,8328982.6,100.0,100,1.0,,,6.34,1.63,7105.0,22.43,73.91,0.0,3.66,254.12,0.0,0.0,8820211.27,49017.62,8.85,3.18,266983.0,67.88,27.29,37.37,144.21,3000.0,0.0,7906217.93,8869228.9,0.0
Cook Islands,2007,119020.06,16034.53,100.0,100,1.0,,,4.73,4.33,1375.0,46.98,46.25,0.15,6.62,373.65,0.0,13.68,9986.66,8263.46,9.1,8.44,105091.0,71.01,25.72,35.56,214.25,2490.48,0.0,6202.03,18250.13,0.0
Colombia,2007,34527431.86,31331410.24,100.0,100,1.0,12.13,12.13,3.48,4.96,81180.0,28.96,65.44,1.05,4.55,3000.0,0.0,3565167.7,34748935.62,2049515.6,9.38,9.33,1102621.0,70.6,24.32,10.01,58.9,3000.0,0.0,19114393.83,36798451.22,0.0
Comoros,2007,207136.45,43755.67,100.0,100,1.0,9.01,9.01,3.64,2.41,1169.0,27.89,72.03,0.0,0.09,70.0,0.0,0.0,29122.39,25033.05,11.25,7.3,96303.0,74.55,20.98,90.25,277.67,3000.0,0.0,16844.26,54155.44,0.0
Cape Verde,2007,1279493.99,39427.81,100.0,100,1.0,17.02,17.02,2.84,2.59,3696.0,11.07,88.83,0.0,0.11,60.0,0.0,0.0,45907.7,25056.28,9.1,10.44,168037.0,69.77,26.42,35.15,138.18,3000.0,0.0,46149.14,70963.98,0.0
Costa Rica,2007,12443701.17,16936405.92,100.0,100,1.0,7.35,7.35,3.42,5.04,54243.0,25.0,69.84,0.44,4.72,3000.0,0.0,3365775.57,20891433.49,445156.82,9.74,9.19,977344.0,70.27,24.04,14.18,88.46,3000.0,0.0,6238173.93,21336590.31,0.0
